"";"geneID";"cluster"
"427";"S100A4";27
"428";"ZFHX3";27
"429";"ITGA8";27
"430";"GPRC5B";79
"431";"AIF1L";79
"432";"FRMD4B";79
"433";"LRRFIP1";79
"434";"LYST";79
"435";"GPRC5B";79
"436";"PKD1";30
"437";"ALDH1L2";30
"438";"COL1A2";30
"439";"COL5A2";30
"440";"CTSK";30
"441";"P4HA2";30
"442";"SELENOM";30
"443";"SPEG";30
"444";"CMKLR1";30
"445";"LRIG1";30
"446";"PKD1";30
"447";"TNFRSF21";4
"448";"AMOTL2";4
"449";"BACE2";4
"450";"CLU";4
"451";"CPXM2";4
"452";"CRIM1";4
"453";"CTNNAL1";4
"454";"DEPP1";4
"455";"DHRS3";4
"456";"ID2";4
"457";"IL1R1";4
"458";"IL1RL1";4
"459";"INSIG2";4
"460";"LEPR";4
"461";"LIFR";4
"462";"MLLT1";4
"463";"MPP3";4
"464";"MYL12B";4
"465";"NRG1";4
"466";"OAZ1";4
"467";"PAPSS2";4
"468";"PGRMC2";4
"469";"PTGS2";4
"470";"PTTG1IP";4
"471";"RHOB";4
"472";"SAT1";4
"473";"SKIL";4
"474";"SLC41A3";4
"475";"SPINT2";4
"476";"SRPX";4
"477";"THBS1";4
"478";"TMEM120A";4
"479";"ZDHHC2";4
"480";"ALDH1A1";4
"481";"BMP2";4
"482";"BMP4";4
"483";"BMPER";4
"484";"BPGM";4
"485";"FOXC1";4
"486";"HHIP";4
"487";"METRNL";4
"488";"S100A13";4
"489";"SLC16A5";4
"490";"SMAD6";4
"491";"TNFRSF21";4
"492";"NOTCH3";8
"493";"ANG";8
"494";"ANKH";8
"495";"CALM2";8
"496";"CHCHD10";8
"497";"COL3A1";8
"498";"DMD";8
"499";"FBXO32";8
"500";"GGTA1";8
"501";"HCFC1R1";8
"502";"MFGE8";8
"503";"MICAL2";8
"504";"MIR100HG";8
"505";"PDE5A";8
"506";"RAB34";8
"507";"STK17B";8
"508";"SUSD5";8
"509";"TLCD4";8
"510";"ARHGEF17";8
"511";"AXL";8
"512";"CCDC80";8
"513";"FZD1";8
"514";"JAM3";8
"515";"MYOCD";8
"516";"NDUFA4L2";8
"517";"NOTCH3";8
"518";"SEMA5B";1
"519";"ANK1";1
"520";"ANK3";1
"521";"BMPR1A";1
"522";"CHPF";1
"523";"F2RL1";1
"524";"FRZB";1
"525";"FZD8";1
"526";"HIF3A";1
"527";"HTR2A";1
"528";"LMO3";1
"529";"LSP1";1
"530";"MAP1A";1
"531";"MAP9";1
"532";"MFAP4";1
"533";"MXRA8";1
"534";"NEGR1";1
"535";"NUDT4";1
"536";"PAG1";1
"537";"PARM1";1
"538";"PDZD2";1
"539";"PPP2R2B";1
"540";"PRKAA2";1
"541";"PTGER3";1
"542";"RGS5";1
"543";"SBF1";1
"544";"SFRP4";1
"545";"SGCD";1
"546";"SSPN";1
"547";"SSX2IP";1
"548";"ST6GAL2";1
"549";"SUSD2";1
"550";"THBS2";1
"551";"TIMP4";1
"552";"TNFSF13B";1
"553";"VGLL3";1
"554";"ANOS1";1
"555";"BHLHE41";1
"556";"COLEC11";1
"557";"CPAMD8";1
"558";"CRABP2";1
"559";"CSPG4";1
"560";"CTF1";1
"561";"CYP26B1";1
"562";"DPT";1
"563";"FBLN2";1
"564";"FST";1
"565";"FZD7";1
"566";"GEM";1
"567";"GPM6B";1
"568";"GPR153";1
"569";"HEYL";1
"570";"HSPB2";1
"571";"HTR4";1
"572";"ITGA3";1
"573";"KCNMB1";1
"574";"LRRC17";1
"575";"MMP19";1
"576";"MSC";1
"577";"NTRK3";1
"578";"NXPH3";1
"579";"OLFML1";1
"580";"PCOLCE2";1
"581";"PTN";1
"582";"SFRP2";1
"583";"SHC4";1
"584";"SHISA6";1
"585";"SLIT1";1
"586";"SLITRK4";1
"587";"SMIM3";1
"588";"SMOC2";1
"589";"STEAP4";1
"590";"TNFAIP6";1
"591";"ZBTB7C";1
"592";"COMP";1
"593";"PDZRN3";1
"594";"RERGL";1
"595";"SEMA5B";1
"596";"TSPAN15";20
"597";"APLN";20
"598";"COL15A1";20
"599";"LRP5";20
"600";"POSTN";20
"601";"RGCC";20
"602";"RGS16";20
"603";"ZNF385D";20
"604";"ADAM23";20
"605";"ADAMTS7";20
"606";"CTHRC1";20
"607";"CYGB";20
"608";"NEURL1B";20
"609";"SERPINH1";20
"610";"TSPAN15";20
"611";"HOXD8";43
"612";"APOLD1";43
"613";"CCDC69";43
"614";"ESAM";43
"615";"KANK3";43
"616";"KCNN3";43
"617";"LYPD5";43
"618";"PPM1F";43
"619";"HOXD8";43
"620";"NOL4L";24
"621";"ARAP3";24
"622";"CD34";24
"623";"ECSCR";24
"624";"EMP1";24
"625";"HHEX";24
"626";"HLA-E";24
"627";"JAM2";24
"628";"MGST2";24
"629";"RALGAPA2";24
"630";"DIPK1B";24
"631";"EPHB4";24
"632";"MALL";24
"633";"NOL4L";24
"634";"PKN3";74
"635";"ARHGAP4";74
"636";"BLCAP";74
"637";"EFNA5";74
"638";"NOS3";74
"639";"PKN3";74
"640";"SLC30A3";40
"641";"ARHGEF40";40
"642";"CEBPD";40
"643";"CPED1";40
"644";"LMOD1";40
"645";"MYL9";40
"646";"PPP1R12B";40
"647";"RNF24";40
"648";"SLC14A1";40
"649";"SLC30A3";40
"650";"TGM2";72
"651";"ARL4D";72
"652";"ATN1";72
"653";"FUT8";72
"654";"PKD1P1";72
"655";"TGM2";72
"656";"C3orf36";18
"657";"ARL5A";18
"658";"DENND5B";18
"659";"EXT1";18
"660";"MYOM1";18
"661";"SARAF";18
"662";"SBSPON";18
"663";"SLC5A3";18
"664";"ACTG2";18
"665";"HAS3";18
"666";"KCNAB1";18
"667";"PI16";18
"668";"SEMA3G";18
"669";"TAFA5";18
"670";"WIPF3";18
"671";"C3orf36";18
"672";"TMCC3";62
"673";"ARL6IP1";62
"674";"DOCK9";62
"675";"NAMPT";62
"676";"SHE";62
"677";"CFI";62
"678";"TMCC3";62
"679";"SORBS3";61
"680";"ASPN";61
"681";"FAM229B";61
"682";"MT2A";61
"683";"PID1";61
"684";"PRELP";61
"685";"SORBS3";61
"686";"SLC48A1";34
"687";"ATL2";34
"688";"ATP2A3";34
"689";"BAIAP2-DT";34
"690";"EPAS1";34
"691";"KLF4";34
"692";"LPCAT2";34
"693";"NCKAP5";34
"694";"NIPAL3";34
"695";"SLC48A1";34
"696";"SPNS2";52
"697";"ATP11A";52
"698";"CYB5B";52
"699";"DUSP23";52
"700";"EMCN";52
"701";"FAM171A1";52
"702";"LIPG";52
"703";"PXN";52
"704";"RAB13";52
"705";"RELL1";52
"706";"RHOJ";52
"707";"SGK1";52
"708";"TGFBR2";52
"709";"OLFM1";52
"710";"SPNS2";52
"711";"LRRC4B";7
"712";"ATP1A2";7
"713";"CHAF1B";7
"714";"CLMN";7
"715";"EPHA3";7
"716";"GALNT13";7
"717";"ITM2C";7
"718";"LBH";7
"719";"NTRK2";7
"720";"SLIT2";7
"721";"SLMAP";7
"722";"ARHGEF10L";7
"723";"ARNT2";7
"724";"CA12";7
"725";"GNAZ";7
"726";"KCNMB4";7
"727";"LGI4";7
"728";"NFATC4";7
"729";"NR4A3";7
"730";"PDE1B";7
"731";"SEMA5A";7
"732";"SLC6A1";7
"733";"SPATA18";7
"734";"STEAP1";7
"735";"TMEM100";7
"736";"DLX6";7
"737";"KCNA5";7
"738";"MYOZ1";7
"739";"LRRC4B";7
"740";"TSPAN13";54
"741";"ATP1B3";54
"742";"LAPTM4B";54
"743";"MARCHF3";54
"744";"FAM241A";54
"745";"NR5A2";54
"746";"NRARP";54
"747";"TSPAN13";54
"748";"TNFRSF8";19
"749";"AZIN1";19
"750";"C8orf34";19
"751";"CALM1";19
"752";"FAM107B";19
"753";"FARP1";19
"754";"GLUL";19
"755";"ITLN1";19
"756";"PTPN14";19
"757";"ADAMTS1";19
"758";"CNTN4";19
"759";"GPD1L";19
"760";"KIAA1549L";19
"761";"LYPD2";19
"762";"TNFRSF8";19
"763";"RPH3AL";50
"764";"B2M";50
"765";"BCL6B";50
"766";"HDAC9";50
"767";"LRRC70";50
"768";"TESC";50
"769";"TMSB10";50
"770";"RPH3AL";50
"771";"PAMR1";17
"772";"BASP1";17
"773";"CSRP1";17
"774";"FIBIN";17
"775";"IFT22";17
"776";"ITGA7";17
"777";"LAMA2";17
"778";"S1PR3";17
"779";"SCPEP1";17
