symbol	all	control	tgf	tnf	mix
ISOC1	4	4	4	6	2
MSANTD3	4	4	4	8	6
MTFR1	4	4	3	6	6
PFKP	3	3	8	6	2
SP100	9	3	6	7	2
KLF6	8	9	1	8	9
TRAM1	4	4	3	6	6
PKM	9	1	5	8	6
DHX29	4	4	5	6	7
TP53BP1	9	7	3	8	9
RRP15	7	5	2	4	7
RHOA	7	1	3	4	4
IARS2	4	4	4	4	4
IDH3G	9	9	9	6	7
CBFB	4	4	5	6	6
HYAL2	5	5	3	5	4
IFI35	1	3	2	3	1
TFE3	4	1	2	8	6
ACSL4	4	4	9	6	6
FTSJ1	4	4	4	4	6
PRR11	5	8	5	5	7
ATP11A	7	5	3	4	4
POLR1A	9	7	6	7	9
ERLEC1	4	4	9	8	2
PPP2R5B	9	9	4	8	6
PITX1	9	7	6	7	7
MAST4	9	3	6	8	9
ADGRF5	7	1	9	6	4
NUCKS1	7	5	6	5	4
DNAJA2	4	4	3	4	6
BCL3	8	2	2	9	8
CLEC2D	4	4	3	5	4
TGFBR3	7	9	2	8	4
HES2	9	3	8	6	2
ATP1B3	4	4	3	5	6
GNB5	9	7	6	6	9
HDHD5	7	5	5	4	4
UFD1	8	1	9	1	9
ELP1	4	4	3	8	6
NUCB2	4	4	3	8	6
PFN2	4	5	3	4	4
SLC44A1	6	6	6	7	9
EXOC5	4	1	6	6	7
FSTL3	3	2	8	5	1
WIPI1	3	3	8	7	2
NDST1	4	4	3	4	6
ASNS	9	3	9	8	2
ST6GALNAC2	7	3	9	4	7
PABPC1	7	4	9	4	4
CFAP20	4	4	3	4	6
CSNK2A2	9	7	6	7	9
TCOF1	7	1	5	4	7
CDC42	7	4	3	4	7
OSBPL3	7	1	9	8	4
RAD18	7	4	3	4	4
MAP4K4	9	7	6	8	9
WDR1	7	1	3	4	6
ARHGAP10	9	3	6	6	2
RPS6KA2	9	9	4	8	7
VASH1	3	9	7	6	1
LMCD1	3	3	7	6	1
SEL1L	4	3	9	8	6
TRIP13	5	8	3	5	4
CPSF1	9	9	6	7	9
CYBRD1	4	1	8	6	6
CDH19	9	7	6	7	9
RDH11	6	6	1	7	9
ADGRL1	7	9	6	6	4
ACTN1	7	2	9	5	9
ZFYVE26	9	1	4	8	6
RPS6KA6	6	6	1	7	9
EPN2	7	1	3	6	6
PTPN18	9	9	8	6	7
ASIC4	6	6	6	7	9
ALDH3A2	7	1	3	6	4
TFRC	9	3	8	6	2
SMC1A	5	8	5	5	4
HMMR	5	8	4	5	5
